employee_id,age,department,gender,education,years_experience,monthly_salary,performance_score,join_date,attrition
1001,59,Sales,Female,Masters,29,61976.92,67.3,2012-01-01,No
1002,49,Engineering,Male,Bachelors,13,74409.53,87.9,2012-01-06,No
1003,35,Sales,Female,Masters,5,56131.4,50.8,2012-01-11,No
1004,28,Engineering,Female,Masters,2,74543.14,60.1,2012-01-16,No
1005,41,Engineering,Male,PhD,15,89872.95,,2012-01-21,No
1006,59,Finance,Female,Bachelors,6,107012.15,50.3,2012-01-26,No
1007,39,Engineering,Male,PhD,13,,67.9,2012-01-31,No
1008,43,Sales,Male,Masters,8,68064.33,89.9,2012-02-05,Yes
1009,31,Sales,Female,High School,14,71098.92,70.3,2012-02-10,No
1010,31,Marketing,Male,Bachelors,20,66643.01,72.8,2012-02-15,No
1011,44,HR,Female,Masters,34,91692.71,54.9,2012-02-20,No
1012,56,Sales,Female,High School,1,50582.77,62.6,2012-02-25,No
1013,44,Sales,Male,Bachelors,26,81432.3,65.5,2012-03-01,No
1014,23,Marketing,Male,High School,1,79616.76,66.2,2012-03-06,No
1015,42,Sales,Male,Masters,34,67482.23,85.4,2012-03-11,No
1016,22,Marketing,Male,Bachelors,17,90817.81,76.7,2012-03-16,No
1017,44,Marketing,Female,Bachelors,13,90408.07,56.7,2012-03-21,No
1018,50,Sales,Female,Masters,19,69974.77,73.0,2012-03-26,No
1019,58,Sales,Male,Bachelors,17,32106.61,76.0,2012-03-31,No
1020,22,Finance,Female,Masters,9,52159.2,83.7,2012-04-05,No
1021,41,Engineering,Female,Bachelors,24,99945.9,89.0,2012-04-10,No
1022,53,Engineering,Female,Masters,1,55488.37,57.8,2012-04-15,No
1023,32,Marketing,Female,Bachelors,24,58612.56,60.3,2012-04-20,No
1024,42,Finance,Male,High School,32,74714.05,54.9,2012-04-25,No
1025,45,Finance,Male,High School,30,97131.16,67.2,2012-04-30,No
1026,47,Marketing,Female,High School,13,76541.2,75.6,2012-05-05,No
1027,48,Engineering,Male,Masters,0,50699.22,81.8,2012-05-10,No
1028,36,Sales,Male,Bachelors,15,61897.16,69.1,2012-05-15,No
1029,35,Marketing,Male,PhD,2,49748.35,66.2,2012-05-20,No
1030,23,Engineering,Female,Bachelors,34,68996.62,71.8,2012-05-25,No
1031,57,Engineering,Female,Bachelors,5,88576.76,60.0,2012-05-30,Yes
1032,27,Finance,Female,Bachelors,24,70798.23,95.1,2012-06-04,No
1033,41,Sales,Male,Masters,12,87708.85,50.7,2012-06-09,No
1034,29,Engineering,Female,PhD,33,112083.69,72.2,2012-06-14,No
1035,59,Sales,Female,Masters,7,79269.6,94.3,2012-06-19,Yes
1036,38,Engineering,Male,Bachelors,20,65230.83,70.1,2012-06-24,No
1037,24,Sales,Female,Bachelors,33,91967.14,67.7,2012-06-29,Yes
1038,45,Sales,Female,High School,3,57264.48,65.7,2012-07-04,No
1039,34,Sales,Male,Bachelors,24,60333.37,67.8,2012-07-09,No
1040,29,HR,Male,Masters,14,73438.47,86.5,2012-07-14,No
1041,46,Marketing,Male,Bachelors,3,36477.28,43.5,2012-07-19,Yes
